id	eventId	documentCode	messagePayload	subEventType	fullResults	extended_info	match_card
359920	2234	TTEMSINGLES-----------R32-000300----------		Men Singles	OFFICIAL		
359895	2234	TTEWSINGLES-----------R32-001500----------		Women Singles	OFFICIAL		
359692	2234	TTEWSINGLES-----------R32-001100----------		Women Singles	OFFICIAL		
359686	2234	TTEWSINGLES-----------R32-000300----------		Women Singles	OFFICIAL		
359414	2234	TTEWSINGLES-----------R32-001000----------		Women Singles	OFFICIAL		
359200	2234	TTEWSINGLES-----------R32-001200----------		Women Singles	OFFICIAL		
358952	2234	TTEWSINGLES-----------R32-001400----------		Women Singles	OFFICIAL		
358626	2234	TTEWSINGLES-----------R32-001600----------		Women Singles	OFFICIAL		
358603	2234	TTEWSINGLES-----------R32-000900----------		Women Singles	OFFICIAL		
358405	2234	TTEWSINGLES-----------R32-001300----------		Women Singles	OFFICIAL		
357629	2234	TTEWSINGLES-----------R32-000500----------		Women Singles	OFFICIAL		
357544	2234	TTEWSINGLES-----------R32-000800----------		Women Singles	OFFICIAL		
357496	2234	TTEWSINGLES-----------R32-000700----------		Women Singles	OFFICIAL		
357463	2234	TTEWSINGLES-----------R32-000400----------		Women Singles	OFFICIAL		
357140	2234	TTEWSINGLES-----------R32-000100----------		Women Singles	OFFICIAL		
356872	2234	TTEWSINGLES-----------R32-000200----------		Women Singles	OFFICIAL		
356856	2234	TTEWSINGLES-----------R32-000600----------		Women Singles	OFFICIAL		
355899	2234	TTEXDOUBLES-----------R32-001500----------		Mixed Doubles	OFFICIAL		
355672	2234	TTEXDOUBLES-----------R32-000300----------		Mixed Doubles	OFFICIAL		
355509	2234	TTEXDOUBLES-----------R32-000600----------		Mixed Doubles	OFFICIAL		
355463	2234	TTEXDOUBLES-----------R32-001000----------		Mixed Doubles	OFFICIAL		
355424	2234	TTEXDOUBLES-----------R32-001100----------		Mixed Doubles	OFFICIAL		
355334	2234	TTEMSINGLES-----------R64-002600----------		Men Singles	OFFICIAL		
355313	2234	TTEMSINGLES-----------R64-001800----------		Men Singles	OFFICIAL		
354943	2234	TTEMSINGLES-----------R64-002200----------		Men Singles	OFFICIAL		
354884	2234	TTEMSINGLES-----------R64-001500----------		Men Singles	OFFICIAL		
354842	2234	TTEMSINGLES-----------R64-001400----------		Men Singles	OFFICIAL		
354682	2234	TTEMSINGLES-----------R64-001900----------		Men Singles	OFFICIAL		
354434	2234	TTEWSINGLES-----------R64-002600----------		Women Singles	OFFICIAL		
354400	2234	TTEMSINGLES-----------R64-002700----------		Men Singles	OFFICIAL		
353742	2234	TTEMSINGLES-----------R64-000200----------		Men Singles	OFFICIAL		
353411	2234	TTEMSINGLES-----------R64-000600----------		Men Singles	OFFICIAL		
353400	2234	TTEMSINGLES-----------R64-001100----------		Men Singles	OFFICIAL		
353310	2234	TTEMSINGLES-----------R64-001000----------		Men Singles	OFFICIAL		
353035	2234	TTEWSINGLES-----------R64-003100----------		Women Singles	OFFICIAL		
352882	2234	TTEMSINGLES-----------R64-000300----------		Men Singles	OFFICIAL		
