Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
149,138,118886,JPN,M,MATSUYAMA Yuki,1996,1996,0,12,2017
150,132,101480,ESP,M,CANTERO Jesus,1990,2012,0,12,2017
151,136,112445,FRA,M,BROSSIER Benjamin,1986,2005,0,12,2017
152,145,106848,CZE,M,OBESLO Michal,1985,1977,0,12,2017
153,141,113329,HUN,M,LAKATOS Tamas,1983,1987,0,12,2017
154,151,100817,ENG,M,BAGGALEY Andrew,1980,1957,0,12,2017
155,143,113676,FRA,M,ANGLES Enzo,1979,1983,0,12,2017
156,169,108574,IND,M,SHETTY Sanil,1977,1881,0,12,2017
157,147,117800,PRK,M,KANG Wi Hun,1969,1969,0,12,2017
157,144,119729,CHN,M,FANG Yinchi,1969,1981,0,12,2017
159,0,121514,KOR,M,AN Jaehyun,1966,1810,0,12,2017
160,146,106298,BRA,M,MONTEIRO Thiago,1964,1971,0,12,2017
161,175,116798,CZE,M,POLANSKY Tomas,1962,1866,0,12,2017
162,149,115928,PRK,M,CHOE Il,1961,1961,0,12,2017
163,212,114860,HUN,M,MAJOROS Bence,1956,1766,0,12,2017
164,140,117003,FRA,M,CASSIN Alexandre,1949,1989,0,12,2017
165,154,109904,CZE,M,VRABLIK Jiri,1948,1948,0,12,2017
166,148,110602,UKR,M,ZHMUDENKO Yaroslav,1943,1964,0,12,2017
166,295,122044,SWE,M,MOREGARD Truls,1943,1532,0,12,2017
168,0,105032,RUS,M,LAKEEV Vasily,1938,1976,0,12,2017
168,155,120683,SVK,M,BAI ^ He,1938,1938,0,12,2017
170,152,105679,MEX,M,MADRID Marcos,1937,1952,0,12,2017
170,150,109002,ITA,M,STOYANOV Niagol,1937,1958,0,12,2017
172,159,107324,SRB,M,PETO Zsolt,1925,1925,0,12,2017
172,156,116818,KOR,M,KIM Minhyeok,1925,1937,0,12,2017
174,153,114709,BEL,M,LAMBIET Florent,1923,1950,0,12,2017
175,161,108480,SVK,M,SEREDA Peter,1913,1913,0,12,2017
175,161,112417,POL,M,FLORAS Robert,1913,1913,0,12,2017
177,164,102242,UKR,M,DIDUKH Oleksandr,1912,1912,0,12,2017
178,179,110888,SWE,M,ARVIDSSON Simon,1910,1850,0,12,2017
179,165,100439,EGY,M,SALEH Ahmed,1909,1909,0,12,2017
180,0,115561,KOR,M,PARK Jeongwoo,1907,1876,0,12,2017
181,157,112738,SWE,M,ANDERSSON Harald,1900,1934,0,12,2017
182,177,112073,SWE,M,BRODD Viktor,1898,1856,0,12,2017
183,161,116530,GER,M,ORT Kilian,1887,1913,0,12,2017
184,166,113317,BEL,M,DEVOS Robin,1886,1896,0,12,2017
185,246,119800,JPN,M,TAKAMI Masaki,1885,1659,0,12,2017
186,170,113419,BRA,M,JOUTI Eric,1883,1880,0,12,2017
187,160,118889,RUS,M,ISMAILOV Sadi,1882,1917,0,12,2017
188,167,106777,SWE,M,NORDBERG Hampus,1880,1889,0,12,2017
189,172,117341,CHN,M,KONG Lingxuan,1876,1876,0,12,2017
189,172,120851,JPN,M,TSUBOI Yuma,1876,1876,0,12,2017
191,171,104983,RUS,M,KUZMIN Fedor,1869,1877,0,12,2017
191,0,132632,JPN,M,AIDA Satoshi,1869,0,0,12,2017
193,219,117002,FRA,M,SEYFRIED Joe,1866,1746,0,12,2017
193,193,133893,CHN,M,XU Haidong,1866,1816,0,12,2017
195,176,102486,EGY,M,EL-BEIALI Mohamed,1864,1861,0,12,2017
196,181,118851,SLO,M,KOZUL Deni,1862,1845,0,12,2017
197,191,119566,TPE,M,YANG Heng-Wei,1861,1817,0,12,2017
198,174,117330,DOM,M,WU ^ Jiaji,1860,1870,0,12,2017
199,183,114410,SWE,M,RANEFUR Elias,1859,1843,0,12,2017
200,206,116021,USA,M,JHA Kanak,1849,1780,0,12,2017
201,180,112600,TPE,M,HUNG Tzu-Hsiang,1848,1848,0,12,2017
202,178,101400,RUS,M,BUROV Viacheslav,1844,1852,0,12,2017
202,185,111216,ITA,M,MUTTI Leonardo,1844,1836,0,12,2017
204,184,107456,BLR,M,PLATONOV Pavel,1842,1839,0,12,2017
205,185,100829,RUS,M,BAIBULDIN Andrei,1839,1836,0,12,2017
206,185,100079,NGR,M,ABIODUN Bode,1836,1836,0,12,2017
207,199,113679,FRA,M,BOULOUSSA Mehdi,1828,1799,0,12,2017
208,223,122777,JPN,M,UDA Yukiya,1826,1734,0,12,2017
209,190,102736,POL,M,FERTIKOWSKI Pawel,1824,1824,0,12,2017
209,189,107570,UKR,M,PRYSHCHEPA Yevhen,1824,1830,0,12,2017
211,229,133694,JPN,M,TOGAMI Shunsuke,1822,1701,0,12,2017
212,191,115866,THA,M,TANVIRIYAVECHAKUL Padasak,1816,1817,0,12,2017
213,188,113251,BUL,M,FLORITZ ^^ Philipp,1815,1833,0,12,2017
214,195,117887,CHN,M,ZHU Linfeng,1813,1813,0,12,2017
215,193,104827,HUN,M,KOSIBA Daniel,1812,1816,0,12,2017
215,227,111115,PAR,M,AGUIRRE Marcelo,1812,1720,0,12,2017
217,197,113395,SGP,M,CHEW Zhe Yu Clarence,1807,1807,0,12,2017
218,0,107026,SWE,M,OVERSJO Mattias,1806,1803,0,12,2017
219,196,104760,CRO,M,KOJIC Frane,1805,1812,0,12,2017
220,199,102418,ESP,M,DURAN Marc,1799,1799,0,12,2017
220,211,112075,SWE,M,SODERLUND Hampus,1799,1770,0,12,2017
220,225,115449,AUT,M,LEVENKO Andreas,1799,1726,0,12,2017
0,0,131726,ESP,M,PELACHS Marti,220,220,0,12,2017
223,182,114717,HUN,M,SZUDI Adam,1798,1844,0,12,2017
223,168,121042,ROU,M,PLETEA Cristian,1798,1882,0,12,2017
225,198,106151,ECU,M,MINO Alberto,1797,1806,0,12,2017
225,206,122388,JPN,M,KANAMITSU Koyo,1797,1780,0,12,2017
227,201,104774,CRO,M,KOLAREK Tomislav,1795,1795,0,12,2017
228,202,110727,JPN,M,HIRANO Yuki,1793,1793,0,12,2017
229,205,119873,TPE,M,SUN Chia-Hung,1789,1785,0,12,2017
230,204,102994,CZE,M,GAVLAS Antonin,1788,1788,0,12,2017
231,214,114715,GER,M,QIU Dang,1783,1763,0,12,2017
0,0,117139,TUN,M,MAKHLOUF Mehdi,231,231,0,12,2017
232,208,107772,ENG,M,REED Daniel,1777,1777,0,12,2017
232,220,117312,BRA,M,ISHIY Vitor,1777,1742,0,12,2017
234,203,104462,SVK,M,KEINATH Thomas,1771,1792,0,12,2017
235,213,107272,CUB,M,PEREIRA Andy,1764,1764,0,12,2017
235,236,114716,HUN,M,ECSEKI Nandor,1764,1684,0,12,2017
0,0,122776,TTO,M,"O'YOUNG Luc",236,236,0,12,2017
237,215,114123,TPE,M,LEE Chia-Sheng,1762,1762,0,12,2017
238,308,131375,JPN,M,TANAKA Yuta,1755,1517,0,12,2017
239,208,107762,ITA,M,RECH DALDOSSO Marco,1752,1777,0,12,2017
239,217,115438,POL,M,KULPA Konrad,1752,1752,0,12,2017
241,210,114973,BLR,M,KHANIN Aleksandr,1751,1772,0,12,2017
242,216,114356,POR,M,CHEN Diogo,1749,1758,0,12,2017
243,218,106913,CHI,M,OLIVARES Felipe,1745,1751,0,12,2017
244,227,114848,BEL,M,ALLEGRO Martin,1739,1720,0,12,2017
245,222,119877,TPE,M,PENG Wang-Wei,1736,1736,0,12,2017
246,220,115392,NED,M,TROMER Laurens,1728,1742,0,12,2017
247,237,114838,POL,M,ZATOWKA Patryk,1723,1682,0,12,2017
0,0,113847,PYF,M,HOTAN Kenji,247,247,0,12,2017
248,226,100486,ARG,M,ALTO Gaston,1713,1721,0,12,2017
248,241,121693,GRE,M,SGOUROPOULOS Ioannis,1713,1668,0,12,2017
250,297,123682,IND,M,THAKKAR Manav Vikash,1705,1526,0,12,2017
