2026-06-27 12:37:10,760 - INFO - Event 2861 already processed (directory exists: data/wtt_matches/2861), skipping
2026-06-27 12:37:10,761 - INFO - Event 2862 already processed (directory exists: data/wtt_matches/2862), skipping
2026-06-27 12:37:10,761 - INFO - Event 2863 already processed (directory exists: data/wtt_matches/2863), skipping
2026-06-27 12:37:10,761 - INFO - Event 2865 already processed (directory exists: data/wtt_matches/2865), skipping
2026-06-27 12:37:10,761 - INFO - Event 2866 already processed (directory exists: data/wtt_matches/2866), skipping
2026-06-27 12:37:10,761 - INFO - Event 2867 already processed (directory exists: data/wtt_matches/2867), skipping
2026-06-27 12:37:10,761 - INFO - Event 2868 already processed (directory exists: data/wtt_matches/2868), skipping
2026-06-27 12:37:10,761 - INFO - Event 2869 already processed (directory exists: data/wtt_matches/2869), skipping
2026-06-27 12:37:10,761 - INFO - Event 2870 already processed (directory exists: data/wtt_matches/2870), skipping
2026-06-27 12:37:10,761 - INFO - Event 2871 already processed (directory exists: data/wtt_matches/2871), skipping
2026-06-27 12:37:10,761 - INFO - Event 2872 already processed (directory exists: data/wtt_matches/2872), skipping
2026-06-27 12:37:10,761 - INFO - Event 2873 already processed (directory exists: data/wtt_matches/2873), skipping
2026-06-27 12:37:10,761 - INFO - Event 2877 already processed (directory exists: data/wtt_matches/2877), skipping
2026-06-27 12:37:10,761 - INFO - Event 2878 already processed (directory exists: data/wtt_matches/2878), skipping
2026-06-27 12:37:10,761 - INFO - Event 2879 already processed (directory exists: data/wtt_matches/2879), skipping
2026-06-27 12:37:10,761 - INFO - Event 2880 already processed (directory exists: data/wtt_matches/2880), skipping
2026-06-27 12:37:10,761 - INFO - Event 2881 already processed (directory exists: data/wtt_matches/2881), skipping
2026-06-27 12:37:10,761 - INFO - Event 2882 already processed (directory exists: data/wtt_matches/2882), skipping
2026-06-27 12:37:10,761 - INFO - Event 2883 already processed (directory exists: data/wtt_matches/2883), skipping
2026-06-27 12:37:10,761 - INFO - Event 2884 already processed (directory exists: data/wtt_matches/2884), skipping
2026-06-27 12:37:10,761 - INFO - Event 2885 already processed (directory exists: data/wtt_matches/2885), skipping
2026-06-27 12:37:10,762 - INFO - Event 2886 already processed (directory exists: data/wtt_matches/2886), skipping
2026-06-27 12:37:10,762 - INFO - Event 2887 already processed (directory exists: data/wtt_matches/2887), skipping
2026-06-27 12:37:10,762 - INFO - Event 2889 already processed (directory exists: data/wtt_matches/2889), skipping
2026-06-27 12:37:10,762 - INFO - Event 2890 already processed (directory exists: data/wtt_matches/2890), skipping
2026-06-27 12:37:10,762 - INFO - Event 2891 already processed (directory exists: data/wtt_matches/2891), skipping
2026-06-27 12:37:10,762 - INFO - Event 2893 already processed (directory exists: data/wtt_matches/2893), skipping
2026-06-27 12:37:10,762 - INFO - Event 2894 already processed (directory exists: data/wtt_matches/2894), skipping
2026-06-27 12:37:10,762 - INFO - Event 2899 already processed (directory exists: data/wtt_matches/2899), skipping
2026-06-27 12:37:10,762 - INFO - Event 2900 already processed (directory exists: data/wtt_matches/2900), skipping
2026-06-27 12:37:10,762 - INFO - Event 2904 already processed (directory exists: data/wtt_matches/2904), skipping
2026-06-27 12:37:10,762 - INFO - Event 2911 already processed (directory exists: data/wtt_matches/2911), skipping
2026-06-27 12:37:10,762 - INFO - Event 2912 already processed (directory exists: data/wtt_matches/2912), skipping
2026-06-27 12:37:10,762 - INFO - Event 2932 already processed (directory exists: data/wtt_matches/2932), skipping
2026-06-27 12:37:10,762 - INFO - Event 2934 already processed (directory exists: data/wtt_matches/2934), skipping
2026-06-27 12:37:10,762 - INFO - Event 2937 already processed (directory exists: data/wtt_matches/2937), skipping
2026-06-27 12:37:10,762 - INFO - Event 2940 already processed (directory exists: data/wtt_matches/2940), skipping
2026-06-27 12:37:10,762 - INFO - Event 2941 already processed (directory exists: data/wtt_matches/2941), skipping
2026-06-27 12:37:10,762 - INFO - Event 2942 already processed (directory exists: data/wtt_matches/2942), skipping
2026-06-27 12:37:10,762 - INFO - Event 2947 already processed (directory exists: data/wtt_matches/2947), skipping
2026-06-27 12:37:10,762 - INFO - Event 2964 already processed (directory exists: data/wtt_matches/2964), skipping
2026-06-27 12:37:10,762 - INFO - Event 2965 already processed (directory exists: data/wtt_matches/2965), skipping
2026-06-27 12:37:10,763 - INFO - Event 2983 already processed (directory exists: data/wtt_matches/2983), skipping
2026-06-27 12:37:10,763 - INFO - Event 2997 already processed (directory exists: data/wtt_matches/2997), skipping
2026-06-27 12:37:10,763 - INFO - Event 3020 already processed (directory exists: data/wtt_matches/3020), skipping
2026-06-27 12:37:10,763 - INFO - Event 3023 already processed (directory exists: data/wtt_matches/3023), skipping
2026-06-27 12:37:10,763 - INFO - Event 3024 already processed (directory exists: data/wtt_matches/3024), skipping
2026-06-27 12:37:10,763 - INFO - Event 3025 already processed (directory exists: data/wtt_matches/3025), skipping
2026-06-27 12:37:10,763 - INFO - Event 3026 already processed (directory exists: data/wtt_matches/3026), skipping
2026-06-27 12:37:10,763 - INFO - Event 3027 already processed (directory exists: data/wtt_matches/3027), skipping
2026-06-27 12:37:10,763 - INFO - Event 3028 already processed (directory exists: data/wtt_matches/3028), skipping
2026-06-27 12:37:10,763 - INFO - Event 3030 already processed (directory exists: data/wtt_matches/3030), skipping
2026-06-27 12:37:10,763 - INFO - Event 3031 already processed (directory exists: data/wtt_matches/3031), skipping
2026-06-27 12:37:10,763 - INFO - Event 3058 already processed (directory exists: data/wtt_matches/3058), skipping
2026-06-27 12:37:10,763 - INFO - Event 3059 already processed (directory exists: data/wtt_matches/3059), skipping
2026-06-27 12:37:10,763 - INFO - Event 3065 already processed (directory exists: data/wtt_matches/3065), skipping
2026-06-27 12:37:10,763 - INFO - Event 3066 already processed (directory exists: data/wtt_matches/3066), skipping
2026-06-27 12:37:10,763 - INFO - Event 3069 already processed (directory exists: data/wtt_matches/3069), skipping
2026-06-27 12:37:10,763 - INFO - Event 3082 already processed (directory exists: data/wtt_matches/3082), skipping
2026-06-27 12:37:10,763 - INFO - Event 3083 already processed (directory exists: data/wtt_matches/3083), skipping
2026-06-27 12:37:10,763 - INFO - Event 3084 already processed (directory exists: data/wtt_matches/3084), skipping
